,breed,file,xmin,ymin,xmax,ymax,foldername,filename,dog_number,prepfilename,xdelta,ydelta
n02085620_2903,Chihuahua,n02085620_2903,210.0,57.0,468.0,332.0,02085620,n02085620_2903,1,n02085620_2903-Chihuahua_cr1,258.0,275.0
n02085620_2921,Chihuahua,n02085620_2921,30.0,15.0,202.0,224.0,02085620,n02085620_2921,1,n02085620_2921-Chihuahua_cr1,172.0,209.0
n02085620_2937,Chihuahua,n02085620_2937,121.0,28.0,256.0,192.0,02085620,n02085620_2937,1,n02085620_2937-Chihuahua_cr1,135.0,164.0
n02085620_2973,Chihuahua,n02085620_2973,71.0,78.0,320.0,450.0,02085620,n02085620_2973,1,n02085620_2973-Chihuahua_cr1,249.0,372.0
n02085620_2981,Chihuahua,n02085620_2981,399.0,314.0,562.0,525.0,02085620,n02085620_2981,1,n02085620_2981-Chihuahua_cr1,163.0,211.0
n02085620_3006,Chihuahua,n02085620_3006,86.0,42.0,356.0,492.0,02085620,n02085620_3006,1,n02085620_3006-Chihuahua_cr1,270.0,450.0
n02085620_3033,Chihuahua,n02085620_3033,164.0,137.0,456.0,335.0,02085620,n02085620_3033,1,n02085620_3033-Chihuahua_cr1,292.0,198.0
n02085620_3045,Chihuahua,n02085620_3045,101.0,106.0,318.0,343.0,02085620,n02085620_3045,1,n02085620_3045-Chihuahua_cr1,217.0,237.0
n02085620_3093,Chihuahua,n02085620_3093,155.0,183.0,320.0,427.0,02085620,n02085620_3093,1,n02085620_3093-Chihuahua_cr1,165.0,244.0
n02085620_3110,Chihuahua,n02085620_3110,98.0,32.0,285.0,258.0,02085620,n02085620_3110,1,n02085620_3110-Chihuahua_cr1,187.0,226.0
n02085620_3208,Chihuahua,n02085620_3208,100.0,21.0,451.0,374.0,02085620,n02085620_3208,1,n02085620_3208-Chihuahua_cr1,351.0,353.0
n02085620_326,Chihuahua,n02085620_326,0.0,66.0,264.0,470.0,02085620,n02085620_326,1,n02085620_326-Chihuahua_cr1,264.0,404.0
n02085620_3402,Chihuahua,n02085620_3402,155.0,117.0,466.0,297.0,02085620,n02085620_3402,1,n02085620_3402-Chihuahua_cr1,311.0,180.0
n02085620_3407,Chihuahua,n02085620_3407,0.0,14.0,478.0,304.0,02085620,n02085620_3407,1,n02085620_3407-Chihuahua_cr1,478.0,290.0
n02085620_3409,Chihuahua,n02085620_3409,2.0,1.0,389.0,331.0,02085620,n02085620_3409,1,n02085620_3409-Chihuahua_cr1,387.0,330.0
n02085620_3423,Chihuahua,n02085620_3423,27.0,27.0,174.0,196.0,02085620,n02085620_3423,1,n02085620_3423-Chihuahua_cr1,147.0,169.0
n02085620_3485,Chihuahua,n02085620_3485,25.0,9.0,282.0,315.0,02085620,n02085620_3485,1,n02085620_3485-Chihuahua_cr1,257.0,306.0
n02085620_3488,Chihuahua,n02085620_3488,78.0,67.0,424.0,326.0,02085620,n02085620_3488,1,n02085620_3488-Chihuahua_cr1,346.0,259.0
n02085620_3593,Chihuahua,n02085620_3593,2.0,7.0,199.0,227.0,02085620,n02085620_3593,1,n02085620_3593-Chihuahua_cr1,197.0,220.0
n02085620_3651,Chihuahua,n02085620_3651,152.0,216.0,275.0,370.0,02085620,n02085620_3651,1,n02085620_3651-Chihuahua_cr1,123.0,154.0
n02085620_3677,Chihuahua,n02085620_3677,67.0,24.0,499.0,308.0,02085620,n02085620_3677,1,n02085620_3677-Chihuahua_cr1,432.0,284.0
n02085620_368,Chihuahua,n02085620_368,155.0,24.0,418.0,316.0,02085620,n02085620_368,1,n02085620_368-Chihuahua_cr1,263.0,292.0
n02085620_3681,Chihuahua,n02085620_3681,128.0,26.0,406.0,442.0,02085620,n02085620_3681,1,n02085620_3681-Chihuahua_cr1,278.0,416.0
n02085620_3742,Chihuahua,n02085620_3742,72.0,24.0,538.0,408.0,02085620,n02085620_3742,1,n02085620_3742-Chihuahua_cr1,466.0,384.0
n02085620_3763,Chihuahua,n02085620_3763,6.0,0.0,131.0,131.0,02085620,n02085620_3763,1,n02085620_3763-Chihuahua_cr1,125.0,131.0
n02085620_382,Chihuahua,n02085620_382,134.0,24.0,361.0,373.0,02085620,n02085620_382,1,n02085620_382-Chihuahua_cr1,227.0,349.0
n02085620_3826,Chihuahua,n02085620_3826,2.0,0.0,454.0,332.0,02085620,n02085620_3826,1,n02085620_3826-Chihuahua_cr1,452.0,332.0
n02085620_3838,Chihuahua,n02085620_3838,75.0,2.0,349.0,324.0,02085620,n02085620_3838,1,n02085620_3838-Chihuahua_cr1,274.0,322.0
n02085620_3875,Chihuahua,n02085620_3875,125.0,14.0,340.0,332.0,02085620,n02085620_3875,1,n02085620_3875-Chihuahua_cr1,215.0,318.0
n02085620_3877,Chihuahua,n02085620_3877,0.0,17.0,331.0,498.0,02085620,n02085620_3877,1,n02085620_3877-Chihuahua_cr1,331.0,481.0
n02085620_3880,Chihuahua,n02085620_3880,1.0,63.0,281.0,498.0,02085620,n02085620_3880,1,n02085620_3880-Chihuahua_cr1,280.0,435.0
n02085620_3928,Chihuahua,n02085620_3928,75.0,21.0,399.0,374.0,02085620,n02085620_3928,1,n02085620_3928-Chihuahua_cr1,324.0,353.0
n02085620_3942,Chihuahua,n02085620_3942,10.0,11.0,440.0,498.0,02085620,n02085620_3942,1,n02085620_3942-Chihuahua_cr1,430.0,487.0
n02085620_3975,Chihuahua,n02085620_3975,45.0,63.0,274.0,463.0,02085620,n02085620_3975,1,n02085620_3975-Chihuahua_cr1,229.0,400.0
n02085620_4016,Chihuahua,n02085620_4016,2.0,8.0,629.0,478.0,02085620,n02085620_4016,1,n02085620_4016-Chihuahua_cr1,627.0,470.0
n02085620_4159,Chihuahua,n02085620_4159,167.0,78.0,287.0,319.0,02085620,n02085620_4159,1,n02085620_4159-Chihuahua_cr1,120.0,241.0
n02085620_4207,Chihuahua,n02085620_4207,19.0,16.0,464.0,317.0,02085620,n02085620_4207,1,n02085620_4207-Chihuahua_cr1,445.0,301.0
n02085620_4266,Chihuahua,n02085620_4266,0.0,0.0,285.0,374.0,02085620,n02085620_4266,1,n02085620_4266-Chihuahua_cr1,285.0,374.0
n02085620_4290,Chihuahua,n02085620_4290,36.0,155.0,290.0,458.0,02085620,n02085620_4290,1,n02085620_4290-Chihuahua_cr1,254.0,303.0
n02085620_431,Chihuahua,n02085620_431,180.0,113.0,387.0,360.0,02085620,n02085620_431,1,n02085620_431-Chihuahua_cr1,207.0,247.0
n02085620_4441,Chihuahua,n02085620_4441,107.0,110.0,296.0,401.0,02085620,n02085620_4441,1,n02085620_4441-Chihuahua_cr1,189.0,291.0
n02085620_4515,Chihuahua,n02085620_4515,94.0,127.0,222.0,327.0,02085620,n02085620_4515,1,n02085620_4515-Chihuahua_cr1,128.0,200.0
n02085620_4572,Chihuahua,n02085620_4572,67.0,137.0,222.0,380.0,02085620,n02085620_4572,1,n02085620_4572-Chihuahua_cr1,155.0,243.0
n02085620_4602,Chihuahua,n02085620_4602,1230.0,416.0,2541.0,2441.0,02085620,n02085620_4602,1,n02085620_4602-Chihuahua_cr1,1311.0,2025.0
n02085620_4673,Chihuahua,n02085620_4673,85.0,78.0,300.0,373.0,02085620,n02085620_4673,1,n02085620_4673-Chihuahua_cr1,215.0,295.0
n02085620_4700,Chihuahua,n02085620_4700,30.0,32.0,372.0,498.0,02085620,n02085620_4700,1,n02085620_4700-Chihuahua_cr1,342.0,466.0
n02085620_473,Chihuahua,n02085620_473,43.0,146.0,251.0,319.0,02085620,n02085620_473,2,n02085620_473-Chihuahua_cr2,208.0,173.0
n02085620_477,Chihuahua,n02085620_477,209.0,6.0,452.0,284.0,02085620,n02085620_477,1,n02085620_477-Chihuahua_cr1,243.0,278.0
n02085620_4814,Chihuahua,n02085620_4814,25.0,19.0,221.0,238.0,02085620,n02085620_4814,1,n02085620_4814-Chihuahua_cr1,196.0,219.0
n02085620_4875,Chihuahua,n02085620_4875,17.0,3.0,494.0,457.0,02085620,n02085620_4875,1,n02085620_4875-Chihuahua_cr1,477.0,454.0
n02085620_4919,Chihuahua,n02085620_4919,10.0,22.0,180.0,205.0,02085620,n02085620_4919,1,n02085620_4919-Chihuahua_cr1,170.0,183.0
n02085620_4951,Chihuahua,n02085620_4951,65.0,27.0,441.0,349.0,02085620,n02085620_4951,1,n02085620_4951-Chihuahua_cr1,376.0,322.0
n02085620_4980,Chihuahua,n02085620_4980,153.0,93.0,323.0,205.0,02085620,n02085620_4980,1,n02085620_4980-Chihuahua_cr1,170.0,112.0
n02085620_4998,Chihuahua,n02085620_4998,129.0,124.0,323.0,374.0,02085620,n02085620_4998,1,n02085620_4998-Chihuahua_cr1,194.0,250.0
n02085620_500,Chihuahua,n02085620_500,8.0,87.0,432.0,340.0,02085620,n02085620_500,1,n02085620_500-Chihuahua_cr1,424.0,253.0
n02085620_5093,Chihuahua,n02085620_5093,70.0,91.0,230.0,360.0,02085620,n02085620_5093,1,n02085620_5093-Chihuahua_cr1,160.0,269.0
n02085620_5312,Chihuahua,n02085620_5312,42.0,11.0,499.0,373.0,02085620,n02085620_5312,1,n02085620_5312-Chihuahua_cr1,457.0,362.0
n02085620_5496,Chihuahua,n02085620_5496,0.0,9.0,284.0,332.0,02085620,n02085620_5496,1,n02085620_5496-Chihuahua_cr1,284.0,323.0
n02085620_5661,Chihuahua,n02085620_5661,176.0,42.0,422.0,286.0,02085620,n02085620_5661,2,n02085620_5661-Chihuahua_cr2,246.0,244.0
n02085620_5713,Chihuahua,n02085620_5713,158.0,14.0,482.0,403.0,02085620,n02085620_5713,1,n02085620_5713-Chihuahua_cr1,324.0,389.0
n02085620_574,Chihuahua,n02085620_574,61.0,65.0,433.0,374.0,02085620,n02085620_574,1,n02085620_574-Chihuahua_cr1,372.0,309.0
n02085620_575,Chihuahua,n02085620_575,249.0,51.0,384.0,339.0,02085620,n02085620_575,2,n02085620_575-Chihuahua_cr2,135.0,288.0
n02085620_5771,Chihuahua,n02085620_5771,124.0,234.0,252.0,371.0,02085620,n02085620_5771,1,n02085620_5771-Chihuahua_cr1,128.0,137.0
n02085620_588,Chihuahua,n02085620_588,78.0,117.0,321.0,473.0,02085620,n02085620_588,1,n02085620_588-Chihuahua_cr1,243.0,356.0
n02085620_5927,Chihuahua,n02085620_5927,30.0,14.0,236.0,298.0,02085620,n02085620_5927,1,n02085620_5927-Chihuahua_cr1,206.0,284.0
n02085620_6295,Chihuahua,n02085620_6295,70.0,148.0,179.0,430.0,02085620,n02085620_6295,1,n02085620_6295-Chihuahua_cr1,109.0,282.0
n02085620_6399,Chihuahua,n02085620_6399,107.0,70.0,235.0,147.0,02085620,n02085620_6399,1,n02085620_6399-Chihuahua_cr1,128.0,77.0
n02085620_6931,Chihuahua,n02085620_6931,96.0,87.0,380.0,332.0,02085620,n02085620_6931,1,n02085620_6931-Chihuahua_cr1,284.0,245.0
n02085620_7,Chihuahua,n02085620_7,71.0,1.0,192.0,180.0,02085620,n02085620_7,1,n02085620_7-Chihuahua_cr1,121.0,179.0
n02085620_712,Chihuahua,n02085620_712,98.0,61.0,349.0,325.0,02085620,n02085620_712,1,n02085620_712-Chihuahua_cr1,251.0,264.0
n02085620_7292,Chihuahua,n02085620_7292,69.0,6.0,174.0,139.0,02085620,n02085620_7292,1,n02085620_7292-Chihuahua_cr1,105.0,133.0
n02085620_730,Chihuahua,n02085620_730,177.0,134.0,347.0,367.0,02085620,n02085620_730,1,n02085620_730-Chihuahua_cr1,170.0,233.0
n02085620_735,Chihuahua,n02085620_735,92.0,71.0,185.0,286.0,02085620,n02085620_735,1,n02085620_735-Chihuahua_cr1,93.0,215.0
n02085620_7436,Chihuahua,n02085620_7436,0.0,25.0,373.0,498.0,02085620,n02085620_7436,1,n02085620_7436-Chihuahua_cr1,373.0,473.0
n02085620_7440,Chihuahua,n02085620_7440,21.0,0.0,473.0,374.0,02085620,n02085620_7440,1,n02085620_7440-Chihuahua_cr1,452.0,374.0
n02085620_7613,Chihuahua,n02085620_7613,159.0,119.0,367.0,342.0,02085620,n02085620_7613,1,n02085620_7613-Chihuahua_cr1,208.0,223.0
n02085620_7700,Chihuahua,n02085620_7700,0.0,0.0,379.0,374.0,02085620,n02085620_7700,1,n02085620_7700-Chihuahua_cr1,379.0,374.0
n02085620_7738,Chihuahua,n02085620_7738,119.0,103.0,332.0,355.0,02085620,n02085620_7738,1,n02085620_7738-Chihuahua_cr1,213.0,252.0
n02085620_806,Chihuahua,n02085620_806,189.0,288.0,464.0,483.0,02085620,n02085620_806,1,n02085620_806-Chihuahua_cr1,275.0,195.0
n02085620_8420,Chihuahua,n02085620_8420,53.0,68.0,312.0,249.0,02085620,n02085620_8420,1,n02085620_8420-Chihuahua_cr1,259.0,181.0
n02085620_8491,Chihuahua,n02085620_8491,17.0,17.0,386.0,342.0,02085620,n02085620_8491,1,n02085620_8491-Chihuahua_cr1,369.0,325.0
n02085620_8558,Chihuahua,n02085620_8558,49.0,35.0,171.0,154.0,02085620,n02085620_8558,1,n02085620_8558-Chihuahua_cr1,122.0,119.0
n02085620_8578,Chihuahua,n02085620_8578,62.0,35.0,336.0,323.0,02085620,n02085620_8578,1,n02085620_8578-Chihuahua_cr1,274.0,288.0
n02085620_8585,Chihuahua,n02085620_8585,125.0,9.0,321.0,267.0,02085620,n02085620_8585,1,n02085620_8585-Chihuahua_cr1,196.0,258.0
n02085620_8611,Chihuahua,n02085620_8611,105.0,12.0,254.0,266.0,02085620,n02085620_8611,1,n02085620_8611-Chihuahua_cr1,149.0,254.0
n02085620_8636,Chihuahua,n02085620_8636,45.0,130.0,204.0,262.0,02085620,n02085620_8636,1,n02085620_8636-Chihuahua_cr1,159.0,132.0
n02085620_8637,Chihuahua,n02085620_8637,143.0,46.0,457.0,301.0,02085620,n02085620_8637,1,n02085620_8637-Chihuahua_cr1,314.0,255.0
n02085620_9351,Chihuahua,n02085620_9351,139.0,12.0,359.0,327.0,02085620,n02085620_9351,1,n02085620_9351-Chihuahua_cr1,220.0,315.0
n02085620_9357,Chihuahua,n02085620_9357,63.0,90.0,418.0,248.0,02085620,n02085620_9357,1,n02085620_9357-Chihuahua_cr1,355.0,158.0
n02085620_9399,Chihuahua,n02085620_9399,149.0,74.0,286.0,249.0,02085620,n02085620_9399,1,n02085620_9399-Chihuahua_cr1,137.0,175.0
n02085620_9414,Chihuahua,n02085620_9414,42.0,0.0,343.0,281.0,02085620,n02085620_9414,1,n02085620_9414-Chihuahua_cr1,301.0,281.0
n02085620_949,Chihuahua,n02085620_949,8.0,16.0,374.0,357.0,02085620,n02085620_949,1,n02085620_949-Chihuahua_cr1,366.0,341.0
n02085620_952,Chihuahua,n02085620_952,107.0,29.0,370.0,498.0,02085620,n02085620_952,1,n02085620_952-Chihuahua_cr1,263.0,469.0
n02085620_9654,Chihuahua,n02085620_9654,0.0,36.0,420.0,498.0,02085620,n02085620_9654,1,n02085620_9654-Chihuahua_cr1,420.0,462.0
n02085782_1039,Japanese_spaniel,n02085782_1039,1.0,1.0,374.0,374.0,02085782,n02085782_1039,1,n02085782_1039-Japanese_spaniel_cr1,373.0,373.0
n02085782_1058,Japanese_spaniel,n02085782_1058,82.0,53.0,169.0,127.0,02085782,n02085782_1058,1,n02085782_1058-Japanese_spaniel_cr1,87.0,74.0
n02085782_1059,Japanese_spaniel,n02085782_1059,142.0,8.0,361.0,410.0,02085782,n02085782_1059,1,n02085782_1059-Japanese_spaniel_cr1,219.0,402.0
n02085782_1077,Japanese_spaniel,n02085782_1077,27.0,36.0,505.0,316.0,02085782,n02085782_1077,1,n02085782_1077-Japanese_spaniel_cr1,478.0,280.0
n02085782_1085,Japanese_spaniel,n02085782_1085,10.0,2.0,247.0,323.0,02085782,n02085782_1085,1,n02085782_1085-Japanese_spaniel_cr1,237.0,321.0
n02085782_1143,Japanese_spaniel,n02085782_1143,30.0,3.0,211.0,210.0,02085782,n02085782_1143,1,n02085782_1143-Japanese_spaniel_cr1,181.0,207.0
n02085782_1156,Japanese_spaniel,n02085782_1156,92.0,55.0,423.0,355.0,02085782,n02085782_1156,1,n02085782_1156-Japanese_spaniel_cr1,331.0,300.0
n02085782_1191,Japanese_spaniel,n02085782_1191,133.0,52.0,304.0,297.0,02085782,n02085782_1191,1,n02085782_1191-Japanese_spaniel_cr1,171.0,245.0
n02085782_1224,Japanese_spaniel,n02085782_1224,33.0,28.0,171.0,185.0,02085782,n02085782_1224,1,n02085782_1224-Japanese_spaniel_cr1,138.0,157.0
n02085782_126,Japanese_spaniel,n02085782_126,43.0,27.0,388.0,346.0,02085782,n02085782_126,1,n02085782_126-Japanese_spaniel_cr1,345.0,319.0
n02085782_1267,Japanese_spaniel,n02085782_1267,13.0,5.0,139.0,98.0,02085782,n02085782_1267,1,n02085782_1267-Japanese_spaniel_cr1,126.0,93.0
n02085782_1284,Japanese_spaniel,n02085782_1284,29.0,97.0,539.0,378.0,02085782,n02085782_1284,1,n02085782_1284-Japanese_spaniel_cr1,510.0,281.0
n02085782_1348,Japanese_spaniel,n02085782_1348,2.0,113.0,454.0,379.0,02085782,n02085782_1348,1,n02085782_1348-Japanese_spaniel_cr1,452.0,266.0
n02085782_1350,Japanese_spaniel,n02085782_1350,90.0,16.0,205.0,131.0,02085782,n02085782_1350,1,n02085782_1350-Japanese_spaniel_cr1,115.0,115.0
n02085782_1353,Japanese_spaniel,n02085782_1353,116.0,25.0,299.0,239.0,02085782,n02085782_1353,1,n02085782_1353-Japanese_spaniel_cr1,183.0,214.0
n02085782_1401,Japanese_spaniel,n02085782_1401,16.0,12.0,177.0,150.0,02085782,n02085782_1401,1,n02085782_1401-Japanese_spaniel_cr1,161.0,138.0
n02085782_1425,Japanese_spaniel,n02085782_1425,10.0,2.0,118.0,99.0,02085782,n02085782_1425,1,n02085782_1425-Japanese_spaniel_cr1,108.0,97.0
n02085782_143,Japanese_spaniel,n02085782_143,0.0,6.0,249.0,268.0,02085782,n02085782_143,1,n02085782_143-Japanese_spaniel_cr1,249.0,262.0
n02085782_1434,Japanese_spaniel,n02085782_1434,7.0,24.0,290.0,319.0,02085782,n02085782_1434,1,n02085782_1434-Japanese_spaniel_cr1,283.0,295.0
n02085782_1460,Japanese_spaniel,n02085782_1460,94.0,31.0,305.0,351.0,02085782,n02085782_1460,1,n02085782_1460-Japanese_spaniel_cr1,211.0,320.0
n02085782_1503,Japanese_spaniel,n02085782_1503,26.0,22.0,185.0,287.0,02085782,n02085782_1503,1,n02085782_1503-Japanese_spaniel_cr1,159.0,265.0
